iter	Passed	Remaining
172	523	2504
173	526	2500
174	530	2500
175	533	2496
176	536	2492
177	538	2488
178	541	2484
179	544	2481
180	547	2477
181	550	2473
182	553	2470
183	556	2466
184	558	2462
185	561	2458
186	564	2454
187	568	2453
188	570	2449
189	573	2445
190	576	2441
191	579	2438
192	582	2434
193	585	2430
194	588	2428
195	591	2424
196	593	2420
197	596	2416
198	599	2413
199	602	2409
200	605	2406
201	608	2402
202	610	2398
203	613	2395
204	616	2391
205	619	2387
206	622	2384
207	625	2380
208	628	2376
209	630	2373
210	633	2369
211	636	2365
212	639	2362
213	642	2358
214	644	2354
215	647	2351
216	651	2349
217	654	2346
218	656	2342
219	659	2338
220	662	2336
221	665	2332
222	668	2328
223	671	2324
224	674	2321
225	676	2318
226	679	2314
227	682	2311
228	685	2307
229	688	2304
230	691	2300
231	693	2297
232	696	2293
233	699	2291
234	702	2287
235	705	2284
236	708	2280
237	711	2277
238	714	2274
239	717	2270
240	719	2267
241	722	2263
242	725	2260
243	728	2257
244	731	2253
245	734	2250
246	737	2247
247	740	2245
248	748	2256
249	750	2252
250	753	2249
251	756	2245
252	759	2242
253	762	2240
254	765	2236
255	768	2233
256	771	2229
257	774	2226
258	776	2222
259	779	2219
260	782	2216
261	785	2212
262	788	2208
263	791	2205
264	793	2201
265	796	2198
266	799	2194
267	802	2191
268	805	2188
269	808	2185
270	810	2181
271	813	2178
272	816	2174
273	819	2171
274	822	2167
275	825	2164
276	827	2161
277	830	2157
278	833	2153
279	836	2151
280	839	2148
281	842	2144
282	845	2141
283	848	2137
284	850	2134
285	853	2131
286	856	2128
287	859	2124
288	862	2121
289	865	2118
290	867	2114
291	870	2111
292	873	2108
293	876	2104
294	879	2101
295	882	2098
296	884	2094
297	887	2091
298	890	2088
299	893	2084
300	896	2082
301	899	2079
302	902	2075
303	905	2072
304	907	2069
305	910	2065
306	913	2062
307	916	2059
308	919	2055
309	922	2052
310	924	2049
311	927	2045
312	930	2042
313	933	2039
314	936	2036
315	939	2032
316	941	2029
317	944	2026
318	947	2022
319	950	2019
320	953	2016
321	955	2012
322	959	2010
323	962	2007
324	964	2003
325	967	2000
326	970	1997
327	973	1994
328	976	1990
329	978	1987
330	981	1984
331	984	1981
332	987	1978
333	990	1974
334	993	1971
335	995	1968
336	998	1964
337	1001	1961
338	1004	1958
339	1007	1954
340	1009	1951
341	1012	1948
342	1015	1945
343	1018	1942
344	1021	1939
345	1024	1936
346	1027	1932
347	1029	1929
348	1034	1928
349	1036	1925
350	1040	1923
351	1043	1920
352	1046	1917
353	1048	1914
354	1051	1910
355	1054	1907
356	1057	1904
357	1060	1901
358	1063	1898
359	1065	1895
360	1068	1891
361	1071	1888
362	1074	1885
363	1077	1882
364	1080	1879
365	1082	1875
366	1085	1872
367	1088	1869
368	1091	1866
369	1094	1863
370	1097	1860
371	1100	1856
372	1102	1853
373	1105	1850
374	1108	1847
375	1111	1844
376	1114	1841
377	1116	1837
378	1119	1834
379	1122	1831
380	1125	1828
381	1128	1825
382	1131	1822
383	1133	1818
384	1136	1815
385	1139	1812
386	1142	1809
387	1145	1806
388	1148	1803
389	1151	1800
390	1154	1797
391	1156	1794
392	1159	1791
393	1162	1788
394	1165	1784
395	1168	1781
396	1171	1778
397	1173	1775
398	1176	1772
399	1179	1769
400	1182	1766
401	1185	1763
402	1188	1760
403	1191	1757
404	1193	1753
405	1196	1750
406	1199	1747
407	1202	1744
408	1205	1741
409	1207	1738
410	1210	1735
411	1213	1732
412	1216	1729
413	1219	1726
414	1222	1723
415	1225	1720
416	1228	1716
417	1230	1713
418	1233	1710
419	1236	1707
420	1239	1704
421	1242	1701
422	1245	1698
423	1247	1695
424	1250	1692
425	1253	1689
426	1256	1686
427	1259	1682
428	1262	1679
429	1264	1676
430	1267	1673
431	1270	1670
432	1273	1667
433	1276	1664
434	1279	1661
435	1282	1658
436	1285	1655
437	1288	1652
438	1290	1649
439	1293	1646
440	1296	1643
441	1299	1640
442	1302	1637
443	1304	1634
444	1307	1630
445	1310	1627
446	1313	1624
447	1316	1621
448	1319	1618
449	1322	1615
450	1324	1612
451	1327	1609
452	1330	1606
453	1333	1603
454	1336	1600
455	1339	1597
456	1341	1594
457	1344	1591
458	1347	1588
459	1350	1585
460	1353	1582
461	1358	1581
462	1361	1578
463	1364	1575
464	1367	1572
465	1369	1569
466	1372	1566
467	1375	1563
468	1378	1560
469	1381	1557
470	1384	1554
471	1386	1551
472	1389	1548
473	1392	1545
474	1395	1542
475	1398	1539
476	1400	1536
477	1403	1532
478	1406	1529
479	1409	1527
480	1412	1524
481	1415	1521
482	1418	1517
483	1420	1514
484	1423	1511
485	1426	1508
486	1429	1505
487	1432	1502
488	1435	1499
489	1437	1496
490	1440	1493
491	1443	1490
492	1446	1487
493	1449	1484
494	1452	1481
495	1454	1478
496	1457	1475
497	1460	1472
498	1463	1469
499	1466	1466
500	1469	1463
501	1472	1460
502	1474	1457
503	1477	1454
504	1480	1451
505	1483	1448
506	1486	1445
507	1489	1442
508	1491	1439
509	1494	1436
510	1497	1433
511	1500	1430
512	1503	1427
513	1506	1424
514	1508	1421
515	1511	1418
516	1514	1414
517	1517	1411
518	1520	1408
519	1523	1405
520	1526	1403
521	1529	1400
522	1531	1397
523	1534	1393
524	1537	1390
525	1540	1387
526	1543	1385
527	1546	1382
528	1550	1380
529	1553	1377
530	1556	1374
531	1559	1372
532	1562	1368
533	1565	1365
534	1568	1362
535	1571	1359
536	1573	1357
537	1576	1353
538	1579	1350
539	1582	1347
540	1584	1344
541	1587	1341
542	1590	1338
543	1593	1335
544	1596	1332
545	1599	1329
546	1602	1326
547	1604	1323
548	1607	1320
549	1610	1317
550	1613	1314
551	1616	1311
552	1618	1308
553	1621	1305
554	1624	1302
555	1627	1299
556	1630	1296
557	1633	1293
558	1635	1290
559	1638	1287
560	1641	1284
561	1644	1281
562	1647	1278
563	1651	1276
564	1654	1273
565	1657	1271
566	1660	1267
567	1663	1265
568	1666	1262
569	1669	1259
570	1672	1256
571	1674	1253
572	1677	1250
573	1680	1247
574	1683	1244
575	1686	1241
576	1689	1238
577	1692	1235
578	1695	1232
579	1697	1229
580	1700	1226
581	1708	1226
582	1714	1226
583	1720	1225
584	1725	1223
585	1730	1222
586	1736	1221
587	1740	1219
588	1745	1218
589	1752	1217
590	1761	1218
591	1764	1215
592	1767	1212
593	1769	1209
594	1772	1206
595	1778	1205
596	1782	1203
597	1785	1199
598	1787	1196
599	1790	1193
600	1796	1192
601	1799	1189
602	1801	1186
603	1804	1183
604	1807	1180
605	1810	1177
606	1813	1174
607	1816	1171
608	1819	1168
609	1822	1165
610	1825	1161
611	1827	1158
612	1832	1156
613	1835	1153
614	1838	1150
615	1840	1147
616	1843	1144
617	1846	1141
618	1849	1138
619	1852	1135
620	1855	1132
621	1858	1129
622	1861	1126
623	1865	1124
624	1868	1121
625	1871	1118
626	1874	1114
627	1877	1111
628	1880	1109
629	1883	1105
630	1885	1102
631	1888	1099
632	1891	1096
633	1894	1093
634	1897	1090
635	1900	1087
636	1903	1084
637	1906	1081
638	1909	1078
639	1912	1075
640	1915	1072
641	1918	1069
642	1921	1066
643	1924	1063
644	1927	1060
645	1930	1057
646	1932	1054
647	1935	1051
648	1938	1048
649	1942	1045
650	1945	1042
651	1948	1039
652	1950	1036
653	1953	1033
654	1956	1030
655	1959	1027
656	1962	1024
657	1965	1021
658	1968	1018
659	1971	1015
660	1974	1012
661	1977	1009
662	1980	1006
663	1983	1003
664	1986	1000
665	1989	997
666	1991	994
667	1995	991
668	1998	988
669	2001	985
670	2003	982
671	2007	979
672	2009	976
673	2012	973
674	2015	970
675	2018	967
676	2021	964
677	2024	961
678	2027	958
679	2030	955
680	2032	952
681	2036	949
682	2039	946
683	2041	943
684	2044	940
685	2047	937
686	2050	934
687	2054	931
688	2061	930
689	2067	928
690	2071	926
691	2077	924
692	2082	922
693	2089	921
694	2093	918
695	2097	916
696	2101	913
697	2104	910
698	2107	907
699	2110	904
700	2112	901
701	2115	898
702	2118	895
703	2121	892
704	2124	888
705	2127	885
706	2131	883
707	2135	880
708	2138	877
709	2142	875
710	2145	872
711	2150	869
712	2153	866
713	2156	863
714	2158	860
715	2161	857
716	2164	854
717	2167	851
718	2170	848
719	2173	845
720	2176	842
721	2179	839
722	2182	836
723	2185	833
724	2188	830
725	2191	827
726	2194	823
727	2197	820
728	2200	817
729	2203	815
730	2206	812
731	2209	808
732	2212	805
733	2215	802
734	2218	799
735	2221	796
736	2224	793
737	2227	790
738	2230	787
739	2233	784
740	2236	781
741	2239	778
742	2241	775
743	2244	772
744	2247	769
745	2250	766
746	2253	763
747	2256	760
748	2259	757
749	2262	754
750	2265	751
751	2268	748
752	2271	745
753	2274	741
754	2276	738
755	2279	735
756	2282	732
757	2285	729
758	2288	726
759	2291	723
760	2294	720
761	2297	717
762	2300	714
763	2303	711
764	2306	708
765	2309	705
766	2311	702
767	2314	699
768	2319	696
769	2322	693
770	2324	690
771	2328	687
772	2330	684
773	2334	681
774	2339	679
775	2342	676
776	2345	673
777	2347	669
778	2350	666
779	2353	663
780	2356	660
781	2359	657
782	2362	654
783	2365	651
784	2368	648
785	2371	645
786	2374	642
787	2376	639
788	2379	636
789	2382	633
790	2385	630
791	2388	627
792	2391	624
793	2394	621
794	2397	618
795	2400	615
796	2403	612
797	2405	609
798	2408	605
799	2411	602
800	2414	599
801	2417	596
802	2420	593
803	2422	590
804	2425	587
805	2428	584
806	2431	581
807	2434	578
808	2437	575
809	2439	572
810	2442	569
811	2445	566
812	2448	563
813	2451	560
814	2454	557
815	2457	554
816	2460	551
817	2462	547
818	2465	544
819	2468	541
820	2471	538
821	2474	535
822	2477	532
823	2480	529
824	2482	526
825	2485	523
826	2488	520
827	2491	517
828	2494	514
829	2497	511
830	2500	508
831	2503	505
832	2506	502
833	2509	499
834	2511	496
835	2514	493
836	2517	490
837	2520	487
838	2523	484
839	2526	481
840	2529	478
841	2532	475
842	2535	472
843	2537	469
844	2540	466
845	2543	463
846	2546	460
847	2549	456
848	2552	453
849	2555	450
850	2558	448
851	2561	444
852	2564	441
853	2567	438
854	2571	436
855	2573	432
856	2577	430
857	2580	427
858	2583	424
859	2586	420
860	2588	417
861	2591	414
862	2594	411
863	2597	408
864	2600	405
865	2603	402
866	2606	399
867	2609	396
868	2612	393
869	2615	390
870	2618	387
871	2620	384
872	2623	381
873	2626	378
874	2629	375
875	2632	372
876	2635	369
877	2638	366
878	2641	363
879	2644	360
880	2646	357
881	2649	354
882	2652	351
883	2655	348
884	2658	345
885	2661	342
886	2665	339
887	2669	336
888	2672	333
889	2675	330
890	2678	327
891	2680	324
892	2683	321
893	2686	318
894	2689	315
895	2692	312
896	2695	309
897	2698	306
898	2701	303
899	2703	300
900	2706	297
901	2709	294
902	2712	291
903	2715	288
904	2718	285
905	2721	282
906	2724	279
907	2727	276
908	2730	273
909	2732	270
910	2735	267
911	2738	264
912	2741	261
913	2744	258
914	2746	255
915	2749	252
916	2752	249
917	2755	246
918	2758	243
919	2761	240
920	2764	237
921	2767	234
922	2769	231
923	2772	228
924	2775	225
925	2778	222
926	2781	219
927	2784	216
928	2787	213
929	2789	209
930	2792	206
931	2795	203
932	2798	200
933	2801	197
934	2804	194
935	2807	191
936	2810	188
937	2813	185
938	2815	182
939	2818	179
940	2821	176
941	2824	173
942	2827	170
943	2830	167
944	2833	164
945	2836	161
946	2839	158
947	2842	155
948	2844	152
949	2847	149
950	2850	146
951	2853	143
952	2856	140
953	2859	137
954	2862	134
955	2865	131
956	2868	128
957	2871	125
958	2873	122
959	2876	119
960	2879	116
961	2882	113
962	2885	110
963	2888	107
964	2891	104
965	2893	101
966	2896	98
967	2899	95
968	2902	92
969	2905	89
970	2909	86
971	2912	83
972	2915	80
973	2918	77
974	2921	74
975	2924	71
976	2927	68
977	2930	65
978	2933	62
979	2936	59
980	2939	56
981	2942	53
982	2945	50
983	2948	47
984	2950	44
985	2953	41
986	2956	38
987	2959	35
988	2962	32
989	2965	29
990	2968	26
991	2970	23
992	2973	20
993	2976	17
994	2979	14
995	2982	11
996	2985	8
997	2988	5
998	2991	2
999	2993	0
